Reference,Quantity,Identifier,footprint,Value,Tolerance,Voltage,Current,Power,PN
U1,1,,,MCP73223,,,,,
R1,1,,,1k,,,,,
D1,1,,,RED_LED,,,,,
C1;C2,2,,,4.7uF,,,,,
R2,1,,,1.15k,,,,,
J1,1,,,BARREL_JACK,,,,,
U2,1,,,BQ28Z610,,,,,
R12,1,,,3m,,,,,
R15;R11;R9;R8;R5;R6;R16,7,,,100,,,,,
C7;C12;C11;C5;C6;C3;C4;C9;C8;C24;C25;C26;C18;C15;C22;C20;C23,17,,,0.1uF,,,,,
D3;D2,2,,,MM3Z5V6C,,,,,
TH1;R4;R22;R21,4,,,10k,,,,,
Q3;Q2,2,,,Q_NMOS_DGS,,,,,
R7;R10,2,,,10M,,,,,
R13;R14,2,,,5.1k,,,,,
R3,1,,,10,,,,,
C10,1,,,2.2uF,,,,,
R17,1,,,5,,,,,
BT2;BT1,2,,,LiFePO4,,,,,
J5;J4;J3;J2,4,,,CONN_01X01,,,,,
F1,1,,,Polyfuse,,,,,
Q1,1,,,2N7002K,,,,,
U4,1,,,STM32F103C8Tx,,,,,
Y1,1,,,8M0,,,,,
C14;C16;C17;C19,4,,,12pF,,,,,
Y2,1,,,32k768,,,,,
R19;R20,2,,,100k,,,,,
R23;R24,2,,,22,,,,,
J6,1,,,USB_OTG,,,,,
J8,1,,,CONN_02X03,,,,,
J7,1,,,CONN_01X04,,,,,
U3,1,,,AP131-33,,,,,
C13;C21,2,,,10uF,,,,,
D4;D5,2,,,LED_ALT,,,,,
R18,1,,,510,,,,,
SW1,1,,,SW_Push,,,,,
